,Country,Stringency,ExcessMortality,Treated
0,Nicaragua,9.738584905660389,18579.366802695444,1
1,Burundi,13.48584905660376,6801.989215482983,1
2,Tanzania,17.380476190476173,4779.002252268977,1
3,Kiribati,23.01342592592593,-3084.660934327016,1
4,Niger,24.142314814814817,4810.275829652981,1
5,Burkina Faso,27.41113207547166,2125.9906012659817,1
6,Vanuatu,27.506226415094304,-1833.8389389250167,1
7,Central African Republic,28.00224299065422,452.7684183539844,1
8,Cote d'Ivoire,28.57264150943396,1149.344549499988,1
9,Belarus,29.3222641509434,27578.13951560776,1
10,Macao,29.5869811320755,-264.1504917738828,1
11,Yemen,29.84346153846157,9753.176696969997,1
12,Solomon Islands,30.000467289719605,-1731.1010673670162,1
13,Taiwan,32.27345794392525,-2033.3342359377168,1
14,Somalia,32.80214953271032,6469.3557806499775,1
15,Senegal,34.13990740740744,-704.9231155190143,1
16,Faeroe Islands,34.27728971962616,-7225.746708098152,1
17,Tajikistan,34.319626168224296,9537.786028691058,1
18,Afghanistan,34.69710280373833,7564.492568247987,1
19,Cameroon,35.874285714285726,7681.122032037996,1
20,Greenland,36.36027777777779,-4818.442114922165,1
21,Estonia,37.24560747663554,8836.967686402773,1
22,Iceland,38.3260747663551,-1046.4609402463514,1
23,Sudan,38.73499999999996,16066.507203312962,1
24,Sierra Leone,38.87203703703703,-3256.684001018011,1
25,Mauritania,38.99157407407407,6824.287049586983,1
26,Zambia,39.66904761904762,3200.071165157984,1
27,Benin,39.67037037037037,-2345.4159953980115,1
28,New Zealand,40.3579629629629,-3414.487613110344,1
29,Japan,40.42305555555556,-768.3993512016722,1
30,Finland,40.77453703703704,2714.100361317361,1
31,Mauritius,41.00000000000001,-2379.596798399182,1
32,Dominica,41.1685849056604,3298.981436232986,1
33,Mali,41.17722222222222,764.6881814459865,1
34,Chad,41.42752380952382,9019.588523966988,1
35,Democratic Republic of Congo,41.53824074074075,8157.030436330991,1
36,Ghana,41.863796296296286,-902.2728268190118,1
37,Bosnia and Herzegovina,42.26850467289719,25123.47366326667,1
38,Gambia,42.4665420560748,5853.70389758698,1
39,Aruba,42.58018691588784,10423.084395803931,1
40,Croatia,42.70462962962966,16385.76644632745,1
41,Tonga,42.88471698113205,-849.0044009230114,1
42,Malawi,43.28532710280373,-731.6914488660119,1
43,Namibia,43.423703703703694,10996.011198773987,1
44,Bulgaria,43.496415094339625,31299.03521238424,1
45,Liechtenstein,43.887714285714274,6905.983180450085,1
46,Laos,43.91533333333335,5449.191409094987,1
47,Djibouti,44.07390476190477,20412.25156532096,1
48,Luxembourg,44.19638888888891,2151.1076979205354,1
49,San Marino,44.30694444444443,24446.44757017023,1
50,Togo,44.37981481481484,3610.4599021679833,1
51,Lithuania,44.3842990654206,26380.326526438388,1
52,Andorra,44.62009433962265,12698.518059622009,1
53,Timor-Leste,44.809259259259264,66.86511696898141,1
54,Madagascar,45.21185185185187,-509.6303245740088,1
55,Norway,45.724859813084144,11.116673846250812,1
56,Latvia,45.76841121495328,11746.741263854805,1
57,Syria,45.77327102803736,3495.453377128988,1
58,Switzerland,46.146168224299046,7698.774023422207,1
59,Brunei,46.18392523364484,166.9716225481177,0
60,Serbia,46.201214953271005,27482.32705066131,0
61,Denmark,46.55796296296296,-119.9080085585419,0
62,Haiti,46.57018518518521,6743.290497110995,0
63,Hungary,46.67663551401863,15962.85624018993,0
64,Czech Republic,46.86373831775696,18594.377423581493,0
65,Congo,47.018365384615336,9948.797417671,0
66,Uzbekistan,47.43794392523364,5192.92451605039,0
67,Bermuda,47.54481132075474,6442.312363523309,0
68,El Salvador,47.629065420560735,13513.858875192684,0
69,Russia,47.802429906542095,29154.155597492718,0
70,Liberia,47.984392523364505,-2259.753671798016,0
71,Uruguay,48.105833333333344,370.17388324513246,0
72,Malta,48.200092592592725,4107.169471026386,0
73,Sweden,48.2416666666666,7654.326083222428,0
74,Slovak Republic,48.705185185185215,18523.75706330072,0
75,Singapore,48.80907407407403,-198.5299072336091,0
76,Papua New Guinea,48.82898148148147,-624.6710055250131,0
77,Botswana,48.93268518518524,9504.684780996971,0
78,South Sudan,49.28111111111107,11624.868566989977,0
79,Ethiopia,49.495555555555626,8059.595980708986,0
80,Tunisia,49.49831775700937,7703.590836636705,0
81,Cambodia,49.71198113207542,3769.675972054984,0
82,Thailand,49.81594339622642,1752.737660885149,0
83,Bolivia,49.84403846153845,22725.650346457,0
84,Monaco,49.95759259259256,19244.14835085315,0
85,South Korea,49.98672897196263,-318.6318751790152,0
86,Moldova,50.13514018691588,16535.05989045767,0
87,Poland,50.36785046728974,18281.872728494294,0
88,Slovenia,50.46777777777775,12050.66143246043,0
89,Turkmenistan,50.56676470588234,2932.2276044599903,0
