,toughest,highest_mort
Turkmenistan,50.56676470588234,2932.2276044599903
Timor-Leste,44.809259259259264,66.86511696898141
Tonga,42.884716981132044,-849.0044009230114
Trinidad and Tobago,64.0378095238095,5516.08372639798
Tunisia,49.49831775700937,7703.590836636705
Turkey,57.42906542056074,17219.436807369933
Taiwan,32.27345794392525,-2033.3342359377166
Tanzania,17.380476190476173,4779.002252268977
Uganda,62.19424528301884,3791.27502456498
Ukraine,54.587407407407454,13399.796142146186
Uruguay,48.105833333333344,370.17388324513246
United States,45.762086564472924,864755.8344822901
Uzbekistan,47.43794392523364,5192.92451605039
Venezuela,71.6454716981132,8628.576492983972
Vietnam,62.92320754716985,3531.745394491981
Vanuatu,27.506226415094304,-1833.8389389250171
Yemen,29.843461538461572,9753.176696969995
South Africa,52.489433962264144,16825.287900310344
Zambia,39.66904761904762,3200.0711651579836
Zimbabwe,61.00603773584908,10135.825587957963
