Date,CountryCode,CountryName,StringencyIndex,excess_mort
2020-01-01,ABW,Aruba,0.0,0.0
2020-01-06,ABW,Aruba,0.0,0.0
2020-01-13,ABW,Aruba,0.0,0.0
2020-01-20,ABW,Aruba,0.0,0.0
2020-01-27,ABW,Aruba,0.0,1.906402790373429
2020-02-03,ABW,Aruba,0.0,1.2048855459041825
2020-02-10,ABW,Aruba,0.0,0.5033683014349355
2020-02-17,ABW,Aruba,0.0,-0.1981489430343112
2020-02-24,ABW,Aruba,0.0,-0.899666187503558
2020-03-02,ABW,Aruba,0.0,2.3991379853691988
2020-03-09,ABW,Aruba,0.0,5.697942158241955
2020-03-16,ABW,Aruba,11.11,8.996746331114712
2020-03-23,ABW,Aruba,44.44,12.29555050398747
2020-03-30,ABW,Aruba,85.19,15.594354676860226
2020-04-06,ABW,Aruba,85.19,15.637911528877154
2020-04-13,ABW,Aruba,88.89,15.68146838089408
2020-04-20,ABW,Aruba,85.19,15.725025232911014
2020-04-27,ABW,Aruba,85.19,15.768582084927942
2020-05-04,ABW,Aruba,81.48,12.495100899040883
2020-05-11,ABW,Aruba,81.48,9.22161971315383
2020-05-18,ABW,Aruba,66.67,5.948138527266775
2020-05-25,ABW,Aruba,66.67,2.6746573413797194
2020-06-01,ABW,Aruba,57.41,4.328985840084151
2020-06-08,ABW,Aruba,53.7,5.983314338788581
2020-06-15,ABW,Aruba,47.22,7.637642837493012
2020-06-22,ABW,Aruba,47.22,9.291971336197442
2020-06-29,ABW,Aruba,47.22,10.946299834901874
2020-07-06,ABW,Aruba,47.22,9.27375995435374
2020-07-13,ABW,Aruba,43.52,7.601220073805607
2020-07-20,ABW,Aruba,43.52,5.928680193257473
2020-07-27,ABW,Aruba,43.52,4.25614031270934
2020-08-03,ABW,Aruba,43.52,5.785483042839066
2020-08-10,ABW,Aruba,58.33,7.314825772968792
2020-08-17,ABW,Aruba,58.33,8.844168503098519
2020-08-24,ABW,Aruba,69.44,10.373511233228246
2020-08-31,ABW,Aruba,71.76,11.902853963357972
2020-09-07,ABW,Aruba,62.5,18.47656613978369
2020-09-14,ABW,Aruba,59.72,25.05027831620941
2020-09-21,ABW,Aruba,54.17,31.623990492635134
2020-09-28,ABW,Aruba,54.17,38.19770266906085
2020-10-05,ABW,Aruba,54.17,41.412246773231566
2020-10-12,ABW,Aruba,54.17,44.62679087740226
2020-10-19,ABW,Aruba,54.17,47.84133498157298
2020-10-26,ABW,Aruba,40.74,51.05587908574368
2020-11-02,ABW,Aruba,40.74,50.57702351180791
2020-11-09,ABW,Aruba,40.74,50.09816793787213
2020-11-16,ABW,Aruba,37.04,49.61931236393636
2020-11-23,ABW,Aruba,35.19,49.1404567900006
2020-11-30,ABW,Aruba,26.85,48.66160121606482
2020-12-07,ABW,Aruba,32.41,47.78953198818616
2020-12-14,ABW,Aruba,32.41,46.91746276030749
2020-12-21,ABW,Aruba,31.48,46.04539353242883
2020-12-28,ABW,Aruba,31.48,45.17332430455016
2021-01-04,ABW,Aruba,35.19,47.21033769580762
2021-01-11,ABW,Aruba,40.74,49.24735108706509
2021-01-18,ABW,Aruba,37.04,51.28436447832255
2021-01-25,ABW,Aruba,40.74,53.32137786958
2021-02-01,ABW,Aruba,46.3,60.19742175604717
2021-02-08,ABW,Aruba,53.7,67.07346564251434
2021-02-15,ABW,Aruba,56.48,73.94950952898151
2021-02-22,ABW,Aruba,56.48,80.82555341544865
2021-03-01,ABW,Aruba,56.48,85.51886921973617
2021-03-08,ABW,Aruba,56.48,90.21218502402368
2021-03-15,ABW,Aruba,56.48,94.9055008283112
2021-03-22,ABW,Aruba,56.48,99.59881663259873
2021-03-29,ABW,Aruba,67.59,104.29213243688622
2021-04-05,ABW,Aruba,67.59,111.8671425907838
2021-04-12,ABW,Aruba,60.19,119.44215274468144
2021-04-19,ABW,Aruba,60.19,127.017162898579
2021-04-26,ABW,Aruba,60.19,134.5921730524766
2021-05-03,ABW,Aruba,60.19,136.08360624608628
2021-05-10,ABW,Aruba,51.85,137.57503943969593
2021-05-17,ABW,Aruba,51.85,139.06647263330558
2021-05-24,ABW,Aruba,51.85,140.55790582691526
2021-05-31,ABW,Aruba,48.15,142.04933902052494
2021-06-07,ABW,Aruba,45.37,140.78687230205594
2021-06-14,ABW,Aruba,33.33,139.524405583587
2021-06-21,ABW,Aruba,33.33,138.261938865118
2021-06-28,ABW,Aruba,33.33,136.99947214664903
2021-07-05,ABW,Aruba,25.93,140.30249681735273
2021-07-12,ABW,Aruba,28.7,143.60552148805647
2021-07-19,ABW,Aruba,28.7,146.90854615876017
2021-07-26,ABW,Aruba,28.7,150.21157082946388
2021-08-02,ABW,Aruba,28.7,163.0359832634991
2021-08-09,ABW,Aruba,23.15,175.86039569753433
2021-08-16,ABW,Aruba,43.52,188.6848081315696
2021-08-23,ABW,Aruba,43.52,201.5092205656048
2021-08-30,ABW,Aruba,43.52,214.33363299964003
2021-09-06,ABW,Aruba,37.96,222.99700237427243
2021-09-13,ABW,Aruba,26.39,231.6603717489048
2021-09-20,ABW,Aruba,19.91,240.3237411235372
2021-09-27,ABW,Aruba,19.91,248.9871104981696
2021-10-04,ABW,Aruba,19.91,251.2537778311696
2021-10-11,ABW,Aruba,19.91,253.5969812531696
2021-10-18,ABW,Aruba,44.44,255.5145516631696
2021-10-25,ABW,Aruba,41.67,257.1820250371696
2021-11-01,ABW,Aruba,41.67,258.5331519821696
2021-11-08,ABW,Aruba,41.67,260.13091535216955
2021-11-15,ABW,Aruba,41.67,262.05050309916953
2021-11-22,ABW,Aruba,41.67,264.3743454241696
2021-11-29,ABW,Aruba,41.67,266.2347440831695
2021-12-06,ABW,Aruba,41.67,268.75462775716954
2021-12-13,ABW,Aruba,41.67,271.59047103316954
2021-12-20,ABW,Aruba,41.67,274.44560813616954
2021-12-27,ABW,Aruba,41.67,276.4635613391696
2022-01-03,ABW,Aruba,41.67,278.1080093401696
